Employee_ID,Age,Age_Category ,Gender,Job_Role,Industry,Years_of_Experience,Years_of_Experience_Category,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0057,42,Early Professional,Male,Software Engineer,IT,14,Advanced,Remote,48,13,5,Low,Depression,Yes,Increase,4,Neutral,5,None,Good,Asia
EMP0062,33,Young Adult,Female,Sales,IT,14,Advanced,Remote,30,15,2,Medium,Depression,Yes,Increase,5,Unsatisfied,5,Daily,Good,North America
EMP0064,22,Young Adult,Female,Software Engineer,Healthcare,5,Beginner,Onsite,31,15,3,Medium,Depression,Yes,No Change,2,Satisfied,5,None,Good,South America
EMP0066,56,Senior Professional,Male,HR,Finance,9,Intermediate,Remote,31,3,4,Medium,Anxiety,Yes,Increase,4,Satisfied,4,Weekly,Poor,Europe
EMP0068,60,Mid-Career Professional,Female,Marketing,Education,32,Expert,Remote,20,6,2,High,None,Yes,Decrease,3,Unsatisfied,4,Weekly,Poor,Oceania
EMP0069,32,Senior Professional,Female,Designer,Manufacturing,23,Expert,Onsite,51,8,2,High,Anxiety,Yes,Decrease,3,Neutral,1,Daily,Average,South America
EMP0070,25,Early Professional,Female,Marketing,Finance,6,Intermediate,Remote,28,13,2,Low,None,No,No Change,5,Neutral,1,Daily,Good,North America
EMP0076,42,Early Professional,Male,Marketing,Retail,27,Expert,Onsite,49,3,5,High,Anxiety,Yes,No Change,4,Satisfied,3,None,Good,Asia
EMP0078,28,Early Professional,Female,Marketing,Healthcare,25,Expert,Remote,37,10,5,Medium,Anxiety,Yes,No Change,1,Satisfied,1,Daily,Average,South America
EMP0079,29,Young Adult,Male,Data Scientist,Manufacturing,15,Advanced,Remote,51,5,2,High,Burnout,Yes,Increase,2,Neutral,1,Daily,Average,South America
EMP0080,27,Young Adult,Male,Project Manager,Consulting,21,Expert,Hybrid,21,7,5,Low,Burnout,No,No Change,4,Unsatisfied,3,Weekly,Average,Asia
EMP0081,54,Young Adult,Female,Data Scientist,Education,5,Beginner,Hybrid,21,10,3,High,Burnout,No,Decrease,4,Satisfied,4,None,Poor,Asia
EMP0084,26,Senior Professional,Female,Project Manager,Healthcare,15,Advanced,Hybrid,43,6,4,High,Burnout,Yes,Increase,5,Unsatisfied,3,None,Poor,Europe
EMP0085,56,Young Adult,Male,Designer,Retail,9,Intermediate,Hybrid,42,14,4,Low,None,Yes,Decrease,2,Unsatisfied,5,None,Good,Oceania
EMP0086,50,Senior Professional,Male,Designer,Finance,20,Advanced,Hybrid,44,8,4,Low,Burnout,No,No Change,2,Unsatisfied,4,Daily,Poor,Asia
EMP0089,24,Young Adult,Female,Designer,Consulting,11,Advanced,Remote,38,0,5,High,Anxiety,Yes,Increase,5,Neutral,2,None,Poor,North America
EMP0091,57,Senior Professional,Female,Data Scientist,Retail,2,Beginner,Onsite,57,4,4,Medium,Depression,No,No Change,4,Unsatisfied,2,Weekly,Average,Africa
EMP0092,22,Senior Professional,Female,Software Engineer,Manufacturing,9,Intermediate,Onsite,60,3,1,High,Burnout,No,Decrease,3,Satisfied,5,Weekly,Good,South America
EMP0093,41,Young Adult,Male,Data Scientist,IT,31,Expert,Onsite,29,0,5,Medium,Burnout,No,Increase,3,Satisfied,5,None,Poor,Asia
EMP0096,44,Senior Professional,Female,Project Manager,Manufacturing,2,Beginner,Remote,54,8,5,Low,Burnout,No,Decrease,1,Satisfied,3,None,Good,Asia
EMP0097,35,Mid-Career Professional,Male,Data Scientist,Healthcare,31,Expert,Hybrid,33,11,1,High,Burnout,No,Decrease,5,Neutral,5,Weekly,Poor,Africa
EMP0098,48,Early Professional,Male,Designer,IT,32,Expert,Hybrid,25,1,4,Low,Burnout,No,Increase,4,Neutral,3,Weekly,Average,South America
EMP0100,53,Early Professional,Male,Project Manager,IT,12,Advanced,Hybrid,45,10,2,Medium,None,No,Decrease,3,Satisfied,4,Daily,Good,Africa
EMP0104,50,Mid-Career Professional,Male,Software Engineer,Finance,18,Advanced,Hybrid,60,12,4,High,Depression,Yes,Increase,4,Satisfied,5,None,Good,Africa
EMP0105,41,Senior Professional,Female,Designer,Education,30,Expert,Hybrid,42,2,4,Low,Depression,Yes,Decrease,4,Satisfied,3,Weekly,Average,Africa
EMP0110,36,Senior Professional,Male,Data Scientist,Finance,4,Beginner,Remote,22,7,5,Low,Burnout,No,No Change,1,Neutral,5,Daily,Good,Asia
EMP0111,34,Early Professional,Female,Data Scientist,Education,29,Expert,Hybrid,29,13,3,High,Anxiety,Yes,Increase,5,Unsatisfied,5,Weekly,Average,Africa
EMP0112,49,Early Professional,Male,HR,Finance,30,Expert,Remote,34,8,5,Low,Burnout,No,Decrease,5,Unsatisfied,1,Weekly,Good,Africa
EMP0113,45,Mid-Career Professional,Female,Marketing,Retail,10,Intermediate,Remote,30,7,1,Low,Depression,Yes,Increase,1,Satisfied,5,None,Poor,Europe
EMP0115,53,Mid-Career Professional,Female,Designer,Healthcare,25,Expert,Remote,29,5,2,High,Anxiety,No,No Change,5,Neutral,3,None,Poor,Oceania
EMP0116,29,Senior Professional,Male,Marketing,Education,35,Expert,Onsite,27,1,3,Medium,Anxiety,Yes,No Change,3,Unsatisfied,3,Weekly,Good,South America
EMP0118,58,Early Professional,Female,Data Scientist,Education,25,Expert,Remote,42,13,2,High,Burnout,No,Increase,5,Satisfied,3,Daily,Good,Europe
EMP0119,38,Senior Professional,Female,Data Scientist,Manufacturing,1,Beginner,Hybrid,22,4,2,Medium,Burnout,Yes,Increase,5,Satisfied,3,Daily,Average,Europe
EMP0123,50,Mid-Career Professional,Male,Software Engineer,Healthcare,35,Expert,Onsite,30,10,2,High,Anxiety,Yes,No Change,3,Unsatisfied,1,None,Good,Africa
EMP0127,36,Senior Professional,Female,Marketing,Retail,8,Intermediate,Onsite,38,2,2,Medium,Burnout,Yes,Decrease,2,Unsatisfied,1,Daily,Good,North America
EMP0128,51,Early Professional,Female,Project Manager,Finance,21,Expert,Remote,34,0,5,High,None,Yes,Decrease,2,Unsatisfied,2,None,Average,Europe
EMP0129,27,Senior Professional,Female,Designer,Consulting,15,Advanced,Onsite,46,12,4,Medium,Burnout,No,No Change,2,Unsatisfied,2,Daily,Poor,Europe
EMP0130,22,Young Adult,Female,Sales,Retail,21,Expert,Hybrid,35,2,3,Low,None,Yes,Decrease,5,Unsatisfied,3,None,Average,Oceania
EMP0131,32,Young Adult,Female,Designer,Education,16,Advanced,Remote,23,9,1,Medium,None,No,No Change,5,Neutral,5,Weekly,Good,Africa
EMP0132,32,Early Professional,Female,Marketing,Manufacturing,26,Expert,Remote,28,15,5,Low,Burnout,Yes,Increase,2,Unsatisfied,4,Weekly,Average,Africa
EMP0133,53,Early Professional,Male,Marketing,Retail,4,Beginner,Onsite,57,10,3,Medium,None,No,No Change,4,Neutral,2,Weekly,Good,South America
EMP0135,60,Young Adult,Male,Marketing,Finance,2,Beginner,Hybrid,39,1,4,Medium,None,No,Increase,5,Unsatisfied,2,Weekly,Poor,Oceania
EMP0137,44,Senior Professional,Male,Data Scientist,Healthcare,14,Advanced,Remote,26,9,2,High,Burnout,No,No Change,4,Neutral,5,Daily,Good,South America
EMP0142,49,Early Professional,Female,Project Manager,Healthcare,29,Expert,Hybrid,49,15,5,Low,Burnout,Yes,Decrease,5,Neutral,4,None,Poor,Asia
EMP0143,23,Mid-Career Professional,Female,Designer,Manufacturing,11,Advanced,Hybrid,23,0,5,High,None,No,No Change,2,Unsatisfied,1,Weekly,Poor,Europe
EMP0148,45,Early Professional,Male,Designer,Finance,14,Advanced,Remote,44,10,1,Low,Anxiety,Yes,No Change,1,Unsatisfied,5,Daily,Average,North America
EMP0149,41,Mid-Career Professional,Female,Designer,IT,10,Intermediate,Onsite,52,8,4,High,Depression,Yes,Decrease,3,Satisfied,4,Daily,Good,Oceania
EMP0150,50,Mid-Career Professional,Male,Designer,Consulting,17,Advanced,Onsite,57,11,2,Low,Burnout,Yes,Decrease,1,Unsatisfied,3,Weekly,Good,Oceania
EMP0151,41,Senior Professional,Female,Software Engineer,Consulting,34,Expert,Remote,32,15,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,3,Weekly,Average,Oceania
EMP0152,57,Mid-Career Professional,Female,Designer,Consulting,20,Advanced,Remote,31,6,4,Low,Burnout,No,No Change,3,Satisfied,4,Daily,Poor,Oceania
EMP0153,30,Senior Professional,Male,Software Engineer,Healthcare,29,Expert,Hybrid,58,15,1,Medium,Burnout,No,Increase,2,Unsatisfied,2,Weekly,Poor,Africa
EMP0154,23,Early Professional,Female,Data Scientist,Consulting,31,Expert,Remote,26,9,1,Medium,Depression,Yes,No Change,2,Unsatisfied,2,None,Poor,Asia
EMP0155,30,Young Adult,Male,Software Engineer,Consulting,17,Advanced,Remote,57,5,1,Low,None,Yes,No Change,2,Unsatisfied,4,Weekly,Average,North America
EMP0156,47,Early Professional,Female,Project Manager,Healthcare,31,Expert,Onsite,20,8,1,Low,None,No,Decrease,4,Neutral,1,None,Good,North America
EMP0158,32,Early Professional,Male,Data Scientist,Finance,21,Expert,Hybrid,43,15,3,High,Depression,No,No Change,4,Neutral,3,Weekly,Good,North America
EMP0159,43,Early Professional,Male,Designer,Manufacturing,6,Intermediate,Onsite,50,14,3,Low,Depression,Yes,Increase,1,Unsatisfied,3,Daily,Average,South America
EMP0161,35,Mid-Career Professional,Female,Marketing,IT,34,Expert,Hybrid,37,1,4,Medium,Anxiety,No,Decrease,2,Satisfied,1,None,Average,Africa
EMP0162,40,Early Professional,Female,Data Scientist,Education,24,Expert,Hybrid,38,0,3,High,None,Yes,No Change,4,Neutral,1,None,Average,Africa
EMP0165,40,Young Adult,Male,Software Engineer,Healthcare,11,Advanced,Onsite,20,13,1,Medium,Burnout,No,Increase,5,Neutral,1,None,Good,Oceania
EMP0166,22,Mid-Career Professional,Female,Software Engineer,Manufacturing,10,Intermediate,Hybrid,46,1,2,Low,Anxiety,Yes,Increase,1,Neutral,5,Daily,Poor,Africa
EMP0171,38,Senior Professional,Male,Designer,Retail,19,Advanced,Remote,23,7,1,Low,None,No,Increase,4,Neutral,3,None,Poor,North America
EMP0172,36,Early Professional,Male,Data Scientist,Retail,33,Expert,Onsite,45,3,4,Medium,Depression,No,Decrease,3,Unsatisfied,4,None,Good,Europe
EMP0178,40,Senior Professional,Female,Project Manager,Finance,31,Expert,Onsite,47,10,1,Medium,None,No,Decrease,3,Neutral,2,Weekly,Good,Europe
EMP0179,56,Mid-Career Professional,Female,HR,Healthcare,32,Expert,Hybrid,57,10,4,High,None,No,Increase,4,Satisfied,4,None,Good,South America
EMP0183,26,Mid-Career Professional,Male,Designer,Healthcare,21,Expert,Onsite,56,14,2,Low,Burnout,Yes,Increase,4,Satisfied,1,Weekly,Average,Europe
EMP0184,52,Young Adult,Male,Data Scientist,IT,22,Expert,Onsite,46,14,3,High,Depression,No,No Change,3,Neutral,2,Daily,Good,Africa
EMP0190,45,Mid-Career Professional,Male,Data Scientist,Education,15,Advanced,Remote,33,8,1,Low,Burnout,Yes,No Change,4,Satisfied,2,None,Poor,North America
EMP0191,46,Mid-Career Professional,Female,Data Scientist,Finance,11,Advanced,Hybrid,20,14,3,Low,None,No,Decrease,5,Satisfied,2,Daily,Average,Europe
EMP0192,37,Mid-Career Professional,Female,Software Engineer,Retail,16,Advanced,Hybrid,27,2,1,Medium,Anxiety,Yes,No Change,4,Unsatisfied,3,Weekly,Poor,North America
EMP0193,51,Early Professional,Female,Software Engineer,Healthcare,4,Beginner,Onsite,43,1,5,Medium,Depression,No,No Change,4,Unsatisfied,2,Weekly,Average,South America
EMP0194,52,Senior Professional,Male,Sales,IT,29,Expert,Onsite,23,12,2,Medium,Depression,No,Decrease,5,Neutral,1,Daily,Average,South America
EMP0195,53,Senior Professional,Male,Data Scientist,Education,22,Expert,Onsite,29,0,1,Medium,Burnout,No,No Change,4,Neutral,4,None,Good,Africa
EMP0196,39,Senior Professional,Male,Sales,Education,7,Intermediate,Remote,47,0,2,Medium,None,No,Decrease,5,Neutral,4,None,Poor,North America
EMP0197,56,Early Professional,Female,Designer,Healthcare,28,Expert,Onsite,46,12,1,Low,Anxiety,Yes,Increase,3,Neutral,5,None,Good,Oceania
EMP0199,28,Senior Professional,Male,Project Manager,Retail,7,Intermediate,Remote,47,0,4,High,Burnout,Yes,Decrease,1,Unsatisfied,3,Daily,Poor,Oceania
EMP0200,36,Young Adult,Female,Data Scientist,Finance,3,Beginner,Remote,53,7,3,High,Burnout,No,Decrease,2,Unsatisfied,2,Daily,Average,South America
EMP0202,52,Mid-Career Professional,Male,Sales,Retail,2,Beginner,Remote,40,1,2,Medium,Anxiety,No,Decrease,2,Neutral,3,Weekly,Good,Asia
EMP0203,55,Senior Professional,Female,Project Manager,IT,32,Expert,Hybrid,28,8,5,Low,Depression,No,Decrease,2,Satisfied,1,None,Poor,Asia
EMP0204,58,Senior Professional,Male,Sales,Consulting,18,Advanced,Hybrid,39,14,3,Low,Burnout,No,No Change,3,Neutral,1,Weekly,Good,South America
EMP0206,52,Senior Professional,Male,Data Scientist,Finance,5,Beginner,Onsite,21,3,5,Low,Burnout,Yes,Increase,4,Satisfied,5,Daily,Poor,Oceania
EMP0208,35,Senior Professional,Male,Designer,Retail,2,Beginner,Remote,36,14,3,Low,Burnout,No,Decrease,5,Unsatisfied,2,Weekly,Good,Europe
EMP0209,39,Early Professional,Male,Marketing,Manufacturing,19,Advanced,Remote,32,2,4,High,Anxiety,Yes,Decrease,1,Satisfied,4,Weekly,Average,North America
EMP0211,49,Mid-Career Professional,Male,Project Manager,Manufacturing,31,Expert,Onsite,56,3,5,High,Anxiety,Yes,No Change,1,Satisfied,4,Daily,Poor,Europe
EMP0213,47,Senior Professional,Female,Software Engineer,Manufacturing,11,Advanced,Onsite,35,8,1,High,None,No,No Change,2,Satisfied,4,None,Good,Oceania
EMP0217,30,Young Adult,Male,HR,Education,11,Advanced,Onsite,56,13,3,Medium,Depression,No,Increase,4,Satisfied,4,None,Poor,Oceania
EMP0219,56,Early Professional,Female,HR,Education,5,Beginner,Remote,60,9,3,Low,Anxiety,No,No Change,1,Satisfied,4,Weekly,Average,Asia
EMP0220,42,Senior Professional,Male,Sales,Manufacturing,23,Expert,Hybrid,32,5,4,Low,Burnout,No,No Change,2,Unsatisfied,1,Weekly,Good,South America
EMP0222,30,Mid-Career Professional,Female,HR,IT,20,Advanced,Hybrid,39,6,4,High,None,No,Increase,3,Neutral,5,None,Average,Asia
EMP0223,33,Early Professional,Male,Software Engineer,Consulting,6,Intermediate,Onsite,23,6,3,High,Anxiety,Yes,No Change,5,Unsatisfied,2,Weekly,Good,Asia
EMP0226,44,Senior Professional,Male,Software Engineer,Retail,4,Beginner,Onsite,35,3,1,Low,None,Yes,Increase,3,Neutral,1,Weekly,Good,Africa
EMP0227,40,Mid-Career Professional,Female,Data Scientist,Healthcare,6,Intermediate,Remote,22,0,5,Medium,None,Yes,Increase,4,Satisfied,4,Weekly,Average,South America
EMP0228,23,Mid-Career Professional,Male,Project Manager,IT,8,Intermediate,Onsite,28,15,2,Medium,Depression,Yes,Increase,3,Satisfied,3,Weekly,Poor,Asia
EMP0229,30,Young Adult,Female,Marketing,Consulting,32,Expert,Onsite,57,4,3,Medium,Burnout,No,Decrease,3,Neutral,5,Weekly,Good,Oceania
EMP0230,42,Early Professional,Female,HR,Manufacturing,10,Intermediate,Hybrid,48,14,2,Low,Burnout,Yes,Decrease,3,Satisfied,1,Weekly,Good,Europe
EMP0231,52,Mid-Career Professional,Male,Marketing,Retail,7,Intermediate,Onsite,45,14,1,Medium,Burnout,No,No Change,5,Unsatisfied,4,Daily,Average,Africa
EMP0232,37,Senior Professional,Male,Marketing,Healthcare,29,Expert,Onsite,34,3,4,Low,Burnout,No,Decrease,3,Satisfied,2,Weekly,Poor,Oceania
EMP0236,37,Young Adult,Male,Data Scientist,Finance,18,Advanced,Remote,23,11,2,Low,Burnout,No,No Change,4,Unsatisfied,4,None,Average,Oceania
EMP0237,25,Early Professional,Male,HR,Healthcare,33,Expert,Hybrid,51,7,1,Medium,Depression,No,Decrease,2,Neutral,1,Weekly,Average,Europe
EMP0238,55,Young Adult,Female,Software Engineer,Manufacturing,13,Advanced,Remote,32,11,5,Medium,Depression,Yes,No Change,1,Satisfied,4,Daily,Average,Europe
EMP0241,35,Senior Professional,Male,HR,Education,6,Intermediate,Onsite,58,15,4,High,Depression,No,No Change,3,Neutral,2,Weekly,Poor,Oceania
EMP0246,53,Senior Professional,Female,Project Manager,IT,25,Expert,Hybrid,38,2,2,Low,Anxiety,Yes,Increase,2,Satisfied,3,None,Good,South America
EMP0247,38,Senior Professional,Male,Data Scientist,Healthcare,25,Expert,Remote,59,12,5,Low,Anxiety,No,Increase,3,Neutral,1,Weekly,Average,South America
EMP0248,32,Early Professional,Male,Project Manager,Manufacturing,17,Advanced,Onsite,47,4,1,Medium,None,Yes,Increase,2,Unsatisfied,4,None,Poor,Oceania
EMP0250,29,Early Professional,Female,Project Manager,Manufacturing,18,Advanced,Hybrid,20,6,5,Low,None,Yes,No Change,4,Satisfied,2,Weekly,Poor,Africa
EMP0252,32,Early Professional,Male,Project Manager,Education,21,Expert,Hybrid,32,0,4,High,Depression,Yes,No Change,3,Unsatisfied,1,Weekly,Good,Oceania
EMP0256,27,Mid-Career Professional,Male,Project Manager,Education,25,Expert,Hybrid,32,13,3,Medium,Burnout,Yes,Decrease,5,Unsatisfied,5,Weekly,Average,Oceania
EMP0258,43,Senior Professional,Male,Designer,Healthcare,34,Expert,Hybrid,49,11,3,Medium,Burnout,No,Decrease,3,Satisfied,3,None,Poor,Oceania
EMP0259,31,Mid-Career Professional,Female,Data Scientist,Education,9,Intermediate,Remote,30,9,1,Medium,Anxiety,No,No Change,1,Satisfied,3,Daily,Average,Oceania
EMP0263,37,Senior Professional,Male,Sales,Education,18,Advanced,Onsite,20,15,3,Medium,Burnout,No,No Change,1,Neutral,2,None,Average,Africa
EMP0264,58,Early Professional,Female,Project Manager,Retail,8,Intermediate,Hybrid,35,5,5,Medium,Depression,No,Decrease,3,Neutral,5,Daily,Poor,Asia
EMP0267,48,Senior Professional,Male,Project Manager,Manufacturing,33,Expert,Hybrid,58,13,3,Medium,Burnout,No,Decrease,3,Satisfied,5,None,Average,South America
EMP0269,58,Mid-Career Professional,Female,Marketing,Retail,12,Advanced,Onsite,36,7,4,Medium,Burnout,No,Increase,3,Unsatisfied,3,None,Poor,Europe
EMP0270,30,Senior Professional,Male,Designer,Education,32,Expert,Hybrid,48,3,4,High,Depression,Yes,Increase,5,Neutral,4,Daily,Average,Africa
EMP0273,60,Mid-Career Professional,Female,Marketing,Healthcare,17,Advanced,Remote,55,7,4,Medium,Burnout,Yes,Decrease,1,Unsatisfied,4,None,Poor,Asia
EMP0277,38,Young Adult,Female,Sales,Manufacturing,18,Advanced,Remote,54,7,4,High,Anxiety,No,Decrease,4,Satisfied,1,None,Average,Asia
EMP0278,56,Early Professional,Male,Marketing,Healthcare,8,Intermediate,Remote,33,8,3,Low,Burnout,No,Increase,4,Neutral,5,None,Poor,Asia
EMP0279,31,Senior Professional,Male,Designer,Finance,19,Advanced,Onsite,39,1,4,Medium,None,Yes,Decrease,2,Unsatisfied,4,Daily,Poor,Africa
EMP0281,41,Early Professional,Female,Software Engineer,Education,2,Beginner,Hybrid,48,4,1,Low,Anxiety,Yes,No Change,3,Unsatisfied,1,Weekly,Average,Asia
EMP0282,58,Mid-Career Professional,Male,Designer,Education,10,Intermediate,Remote,60,7,5,Medium,Depression,No,No Change,3,Satisfied,3,Daily,Average,Europe
EMP0283,49,Senior Professional,Male,Data Scientist,IT,35,Expert,Remote,24,1,1,Medium,None,No,Decrease,5,Neutral,4,None,Good,Asia
EMP0287,32,Mid-Career Professional,Female,HR,Consulting,23,Expert,Remote,48,12,4,Medium,None,No,Increase,5,Unsatisfied,2,None,Good,Africa
EMP0291,42,Early Professional,Male,Sales,IT,32,Expert,Hybrid,53,12,1,High,None,No,Decrease,4,Satisfied,3,Weekly,Average,Europe
EMP0293,33,Mid-Career Professional,Female,Sales,Education,22,Expert,Hybrid,31,3,3,Medium,Burnout,Yes,Increase,4,Neutral,3,Weekly,Poor,Africa
EMP0294,40,Early Professional,Male,Designer,Healthcare,3,Beginner,Onsite,58,2,5,Low,Depression,Yes,Decrease,3,Satisfied,3,Weekly,Average,Asia
EMP0295,27,Mid-Career Professional,Male,Marketing,Healthcare,33,Expert,Hybrid,26,5,4,Low,Depression,No,Decrease,5,Unsatisfied,4,Weekly,Average,Europe
EMP0297,42,Early Professional,Female,Marketing,IT,11,Advanced,Hybrid,28,14,3,Low,None,No,No Change,1,Satisfied,2,None,Poor,Europe
EMP0299,45,Young Adult,Female,Marketing,Finance,9,Intermediate,Remote,30,14,2,Low,None,No,Decrease,4,Neutral,2,None,Good,North America
EMP0300,47,Mid-Career Professional,Female,Data Scientist,Finance,6,Intermediate,Hybrid,28,0,1,Low,None,No,Decrease,3,Satisfied,2,None,Poor,Oceania
EMP0308,23,Early Professional,Male,Software Engineer,Consulting,3,Beginner,Onsite,31,14,4,Medium,Depression,Yes,Increase,1,Satisfied,2,Weekly,Average,North America
EMP0312,43,Mid-Career Professional,Female,Data Scientist,Finance,16,Advanced,Onsite,37,8,1,Medium,None,No,Decrease,2,Neutral,4,Weekly,Good,Oceania
EMP0314,44,Early Professional,Male,HR,Retail,26,Expert,Onsite,23,1,3,High,Depression,Yes,Decrease,2,Satisfied,5,Weekly,Good,Africa
EMP0315,50,Mid-Career Professional,Male,Marketing,Education,22,Expert,Remote,20,3,3,Medium,Burnout,Yes,Decrease,1,Satisfied,4,None,Poor,North America
EMP0317,45,Mid-Career Professional,Male,Marketing,IT,2,Beginner,Onsite,46,1,2,Low,Depression,Yes,Decrease,3,Neutral,1,Daily,Good,Asia
EMP0318,60,Mid-Career Professional,Male,HR,Education,6,Intermediate,Remote,37,7,2,Medium,Anxiety,Yes,Increase,1,Unsatisfied,2,Weekly,Poor,Europe
EMP0321,43,Mid-Career Professional,Female,Marketing,Consulting,25,Expert,Hybrid,26,0,2,Low,Burnout,Yes,Increase,4,Neutral,3,Daily,Poor,Africa
EMP0323,32,Young Adult,Male,Marketing,Education,1,Beginner,Onsite,58,0,3,Low,Anxiety,Yes,Decrease,4,Neutral,5,None,Poor,Asia
